Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
4.806874833333334,122,DATA,0x1EA87188,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
4.826871458333334,123,DATA,0x1EA8718C,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
4.828870708333334,124,DATA,0x565,0x3,0xC4 0x35 0x88,0x31B8,NAK
4.846872000000000,125,DATA,0x1EA87188,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
4.848871250000000,126,DATA,0x555,0x2,0xC4 0x35,0x4421,ACK
4.866895958333333,127,DATA,0x1EA8718C,0x5,0x0C 0x46 0x10 0x84 0x21,,
4.870746125000000,128,REMOTE,0x1F297109,0xD,,0x0625,NAK
4.886873041666667,129,DATA,0x575,0x1,0xC6,0x1494,ACK
4.926874125000000,130,DATA,0x1FA8718A,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
4.946878541666667,131,DATA,0x575,0x1,0xC6,0x1C94,ACK
4.966871291666667,132,DATA,0x1EA87189,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
4.986871833333334,133,DATA,0x1EA8718D,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
4.988871083333334,134,DATA,0x575,0xC,0xC6 0x35 0x38 0x63 0x30 0x86 0x10 0x84,0x1084,ACK
5.090884750000000,135,DATA,0x384,0x0,,0x42D0,ACK
5.106875000000000,136,DATA,0x05F8718F,0x5,0x0C 0x46 0x10,,
5.386878583333333,137,DATA,0x5D5,0x1,0xC6,0x1C94,ACK
5.408878375000000,138,DATA,0x155,0x2,0xC4 0x25,0x4421,ACK
5.426907000000000,139,DATA,0x1EA8718E,0x5,0x0C 0x46 0x10 0x84 0x21,,
5.486881250000000,140,DATA,0x5D5,0x1,0xC6,0x1094,ACK
5.506885708333333,141,DATA,0x1EA8718C,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
5.526882333333333,142,DATA,0x1EA8718A,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
5.546882833333333,143,DATA,0x05F8718E,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
5.566906833333333,144,DATA,0x1EA8718A,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
5.586883916666666,145,DATA,0x5D5,0x1,0xC6,0x1C94,ACK
5.646889416666666,146,DATA,0x555,0x1,0xC6,0x1294,ACK
5.666886041666666,147,DATA,0x575,0x1,0xC6,0x1A94,ACK
5.686886583333333,148,DATA,0x5D5,0x1,0xC6,0x1694,ACK
5.708909833333333,149,DATA,0x1FAB7109,0x1,0x0C,0x2308,NAK
5.726887666666666,150,DATA,0x1EA8718B,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
5.746888166666666,151,DATA,0x05F8718F,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
5.766888708333333,152,DATA,0x575,0x1,0xC6,0x1294,ACK
5.786893166666666,153,DATA,0x1EA8718D,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
5.806885875000000,154,DATA,0x555,0x1,0xC6,0x1294,ACK
5.808885166666666,155,DATA,0x1CABB109,0x1,0x0E,0x293D,NAK
5.809939458333333,156,REMOTE,0x1E5CA72B,0x5,,0x0421,ACK
5.828885666666666,157,DATA,0x16D,0x3,0xC4 0x25 0x88,0x31B8,NAK
5.846914291666667,158,DATA,0x1EA8718B,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
5.848913541666667,159,DATA,0x555,0x2,0xC4 0x25,0x4421,ACK
5.866887458333333,160,REMOTE,0x07C,0x7,,0x0C7A,NAK
5.868886750000000,161,DATA,0x5E5,0x9,0xC6 0x2D 0x88 0x62 0xB0 0x86 0x10 0x84,,
6.086893333333333,162,DATA,0x575,0x1,0xC6,0x1194,ACK
6.146894958333333,163,REMOTE,0x1EA8718C,0x5,,0x0623,ACK
6.166895500000000,164,REMOTE,0x1EA8718A,0x5,,0x0623,ACK
6.186892125000000,165,REMOTE,0x1EA8718E,0x5,,0x0623,ACK
6.206923875000000,166,DATA,0x555,0x1,0xC6,0x1594,ACK
6.226893166666667,167,DATA,0x555,0x1,0xC6,0x1D94,ACK
6.246893708333333,168,DATA,0x5D5,0x1,0xC6,0x1394,ACK
6.266894250000000,169,REMOTE,0x1EA8718D,0x5,,0x0623,ACK
6.286894791666667,170,REMOTE,0x1EA87189,0x5,,0x0623,ACK
6.368896166666667,171,DATA,0x525,0x5,0xC4 0x3E 0xD0 0xC4 0xB9,0x1F3F,
6.408897250000000,172,DATA,0x5D5,0x2,0xC4 0x35,0x4421,ACK
6.426898500000000,173,DATA,0x575,0x1,0xC6,0x1B94,ACK
6.446899041666667,174,DATA,0x5D5,0x1,0xC6,0x1394,ACK
6.466899583333333,175,REMOTE,0x1FA8718D,0x5,,0x0623,ACK
6.486927458333334,176,REMOTE,0x1EA8718B,0x5,,0x0623,ACK
6.488926708333334,177,DATA,0x575,0xC,0xC6 0x23 0x38 0x63 0x30 0x86 0x10 0x84,0x1084,ACK
6.566902250000000,178,REMOTE,0x1FA87188,0x5,,0x0623,ACK
6.586902791666667,179,REMOTE,0x1EA8718C,0x5,,0x0623,ACK
6.588902041666667,180,DATA,0x575,0xC,0xC6 0x33 0x38 0x63 0x30 0x86 0x10 0x84,0x1084,ACK
6.626931166666667,181,DATA,0x575,0x1,0xC6,0x1994,ACK
6.706902083333333,182,REMOTE,0x1FA8718E,0x5,,0x0623,ACK
6.726902625000000,183,REMOTE,0x1EA87188,0x5,,0x0623,ACK
6.746903125000000,184,REMOTE,0x05F8718C,0x5,,0x0623,ACK
6.766934916666667,185,DATA,0x5D5,0x1,0xC6,0x1194,ACK
6.768934166666667,186,DATA,0x115,0xD,0xC4 0x3D 0x08 0x63 0x10 0x86 0x10 0x84,,
6.786904208333334,187,DATA,0x5D5,0x1,0xC6,0x1994,ACK
6.808904000000000,188,DATA,0x11D,0xE,0xC4 0x35 0x88 0x72 0x93 0xDF 0x67 0xD2,0x6AB0,ACK
6.809966125000000,189,REMOTE,0x1C5CBE57,0xA,,0x0842,ACK
6.810817375000000,190,DATA,0x5A9,0x6,0x31 0xEC 0x43 0x13 0xC4 0x2D,,
6.828904541666667,191,DATA,0x545,0x3,0xC4 0x35 0x88,0x31B8,NAK
6.846905791666667,192,REMOTE,0x05F8718A,0x5,,0x0623,ACK
6.868905625000000,193,DATA,0x1F2A718F,0x1,0x0C,0x2B08,NAK
7.266913125000000,194,DATA,0x1EA8718C,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
7.286913666666667,195,DATA,0x1EA8718A,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
7.288912916666667,196,DATA,0x575,0xC,0xC6 0x27 0x38 0x63 0x30 0x86 0x10 0x84,0x1084,ACK
7.368915041666667,197,DATA,0x525,0x5,0xC4 0x3E 0xD0 0xC4 0xB9,0x279F,
7.388915583333334,198,DATA,0x575,0xC,0xC6 0x37 0x38 0x63 0x30 0x86 0x10 0x84,0x1084,ACK
7.408916125000000,199,DATA,0x16A8B10B,0x1,0x08,0x3708,NAK
7.426913458333333,200,DATA,0x05F8718C,0x5,0x0C 0x46 0x10 0x84 0x21,,
7.466945791666666,201,DATA,0x1EA8718E,0x5,0x0C 0x46 0x10 0x84 0x21,,
7.546916666666666,202,DATA,0x15F8718D,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
7.666919875000000,203,DATA,0x555,0x1,0xC6,0x1ED4,ACK
7.708920208333334,204,DATA,0x515,0xD,0xC4 0x2D 0x88 0x62 0x30 0x86 0x10 0x84,0x10F6,ACK
7.726921500000000,205,DATA,0x1EA87189,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
7.746949333333333,206,DATA,0x05F8718D,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
7.766922541666666,207,DATA,0x555,0x1,0xC6,0x16D4,ACK
7.786923083333333,208,DATA,0x5D5,0x1,0xC6,0x1ED4,ACK
7.808922875000000,209,DATA,0x51D,0xE,0xC4 0x2D 0x88 0x72 0x93 0x9F 0x67 0xD2,0x6AB0,ACK
7.809985000000000,210,REMOTE,0x045CA72B,0x5,,0x0421,ACK
7.810781583333333,211,REMOTE,0x77C,0x2,,0x0C62,NAK
7.826924166666666,212,DATA,0x1EA8718F,0x5,0x0C 0x46 0x10 0x84 0x21,,
7.846920791666666,213,DATA,0x1EA87188,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
7.848920041666666,214,DATA,0x555,0x2,0xC4 0x2D,0x4421,ACK
7.866921333333333,215,DATA,0x1EA8718C,0x5,0x0C 0x46 0x10 0x84 0x21,,
7.870802708333334,216,REMOTE,0x252,0xC,,0x213B,NAK
7.886953083333333,217,DATA,0x5D5,0x1,0xC6,0x10D4,ACK
8.046926125000001,218,DATA,0x1EA87188,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
8.066926666666667,219,DATA,0x1EA8718C,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
8.086927166666667,220,DATA,0x05F8718A,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
8.206930375000001,221,DATA,0x575,0x1,0xC6,0x12D4,ACK
8.226930916666667,222,DATA,0x5D5,0x1,0xC6,0x1AD4,ACK
8.246927541666667,223,DATA,0x555,0x1,0xC6,0x16D4,ACK
8.366930750000000,224,DATA,0x1FA87189,0x5,0x0C 0x46 0x10 0x84 0x21,0x0421,ACK
8.368898791666666,225,REMOTE,0x5F4,0x2,,0x5C43,NAK
8.386931291666667,226,DATA,0x1EA8718D,0x5,0x0C 0x46 0x10 0x84 0x21,,
8.408931083333334,227,DATA,0x5D5,0x2,0xC4 0x3D,0x4421,ACK
