Time [s],Packet,Type,Identifier,Control,Data,CRC,ACK
4.369935750000000,146,DATA,0x15F8718F,0x9,0x0C 0x46 0x10 0x84 0x21 0x08 0x42 0x10,0x4210,ACK
4.389936291666666,147,DATA,0x555,0x1,0xC6,0x12A4,ACK
4.589937708333333,148,DATA,0x5D5,0x1,0xC6,0x11A4,ACK
4.609938250000000,149,REMOTE,0x1EA8718C,0x9,,0x0623,ACK
4.611937500000000,150,DATA,0x575,0xC,0xC6 0x3B 0x68 0x63 0x30 0x86 0x10 0x84,0x1084,ACK
4.791942291666667,151,DATA,0x525,0x5,0xC4 0x37 0x08 0x62 0x5C,,
4.831943375000000,152,REMOTE,0x1EA8B10A,0x9,,0x0437,ACK
4.849944625000000,153,REMOTE,0x1EA8718E,0x9,,0x0623,ACK
4.869945166666667,154,REMOTE,0x1EA87189,0x9,,0x0623,ACK
4.889945666666667,155,DATA,0x575,0x1,0xC6,0x1BA4,ACK
4.909965750000000,156,REMOTE,0x1EA87189,0x9,,0x0623,ACK
4.929946750000000,157,REMOTE,0x1FA8718D,0x9,,0x0623,ACK
4.969947791666667,158,DATA,0x575,0x1,0xC6,0x1F48,NAK
4.989948333333333,159,DATA,0x5D5,0x1,0xC6,0x17A4,ACK
